-125 -29 5
-125 -29 15
-125 -29 25
-125 -29 35
-125 -29 45
-125 -29 55
-125 -29 65
-125 -29 75
-125 -29 85
-125 -29 95
-105 -23 5
-105 -23 15
-105 -23 25
-105 -23 35
-105 -23 45
-105 -23 55
-105 -23 65
-105 -23 75
-105 -23 85
-105 -23 95
61 -180 5
61 -180 15
61 -180 25
61 -180 35
61 -180 45
61 -180 55
61 -180 65
61 -180 75
61 -180 85
61 -180 95
-134 104 5
-134 104 15
-134 104 25
-134 104 35
-134 104 45
-134 104 55
-134 104 65
-134 104 75
-134 104 85
-134 104 95
-40 -30 5
-40 -30 15
-40 -30 25
-40 -30 35
-40 -30 45
-40 -30 55
-40 -30 65
-40 -30 75
-40 -30 85
-40 -30 95
79 -124 5
79 -124 15
79 -124 25
79 -124 35
79 -124 45
79 -124 55
79 -124 65
79 -124 75
79 -124 85
79 -124 95
-76 202 5
-76 202 15
-76 202 25
-76 202 35
-76 202 45
-76 202 55
-76 202 65
-76 202 75
-76 202 85
-76 202 95
-9 24 5
-9 24 15
-9 24 25
-9 24 35
-9 24 45
-9 24 55
-9 24 65
-9 24 75
-9 24 85
-9 24 95
-69 20 5
-69 20 15
-69 20 25
-69 20 35
-69 20 45
-69 20 55
-69 20 65
-69 20 75
-69 20 85
-69 20 95
-31 40 5
-31 40 15
-31 40 25
-31 40 35
-31 40 45
-31 40 55
-31 40 65
-31 40 75
-31 40 85
-31 40 95
225 -168 5
225 -168 15
225 -168 25
225 -168 35
225 -168 45
225 -168 55
225 -168 65
225 -168 75
225 -168 85
225 -168 95
-81 90 5
-81 90 15
-81 90 25
-81 90 35
-81 90 45
-81 90 55
-81 90 65
-81 90 75
-81 90 85
-81 90 95
17 81 5
17 81 15
17 81 25
17 81 35
17 81 45
17 81 55
17 81 65
17 81 75
17 81 85
17 81 95
179 -184 5
179 -184 15
179 -184 25
179 -184 35
179 -184 45
179 -184 55
179 -184 65
179 -184 75
179 -184 85
179 -184 95
164 23 5
164 23 15
164 23 25
164 23 35
164 23 45
164 23 55
164 23 65
164 23 75
164 23 85
164 23 95
-178 -83 5
-178 -83 15
-178 -83 25
-178 -83 35
-178 -83 45
-178 -83 55
-178 -83 65
-178 -83 75
-178 -83 85
-178 -83 95
-214 -122 5
