# d_x d_y d_z
2.7686e-01 5.1594e-01 2.9711e-01
1.7106e-01 1.1972e-01 6.0519e-01
7.7527e-01 2.7979e-01 1.3572e-01
9.3772e-01 4.9154e-01 2.8212e-01
9.1013e-01 1.3358e-01 6.5466e-01
3.8975e-01 3.3604e-02 3.5644e-01
6.5644e-02 5.6010e-02 3.1881e-01
3.6777e-01 6.9334e-01 4.3955e-01
4.9257e-01 1.1224e-01 4.3232e-01
nan nan nan
3.2152e-01 6.6454e-01 5.2652e-01
9.7914e-01 4.9300e-01 3.6107e-01
3.1579e-01 1.5281e-01 4.2652e-01
2.6211e-01 8.0097e-01 4.6027e-01
7.9937e-02 2.2360e-01 3.0316e-01
9.8395e-03 4.0808e-01 3.3538e-01
1.2226e-01 7.0307e-01 4.5333e-01
4.9323e-01 2.6274e-02 3.3864e-01
5.5054e-01 1.9101e-01 3.8639e-01
5.8148e-01 5.2048e-02 2.5728e-01
7.2650e-01 4.0672e-01 3.9685e-01
4.6595e-01 6.1829e-01 4.2212e-01
4.5348e-01 3.1060e-01 3.2028e-01
9.3020e-01 1.7851e-01 3.5826e-01
3.4092e-01 1.9769e-01 5.0662e-01
2.9050e-02 3.3038e-01 2.5532e-01
5.2864e-01 9.1539e-01 2.3712e-01
2.4501e-01 1.5188e-01 4.0559e-01
5.2481e-01 9.5356e-02 3.0384e-01
6.5754e-02 4.6676e-01 3.8974e-01
6.5444e-01 3.0586e-01 4.3929e-01
4.8490e-01 8.2064e-02 4.8346e-01
8.7210e-01 1.5286e-01 4.1607e-01
1.7430e-01 2.1420e-01 4.3367e-01
8.4292e-02 5.5025e-01 4.0941e-01
2.9314e-01 3.5040e-02 3.0555e-01
2.7290e-01 9.4753e-02 2.0112e-01
4.2202e-01 4.0817e-01 4.0314e-01
3.1487e-02 4.3705e-01 3.4381e-01
5.3909e-01 1.1915e-01 3.8632e-01
nan nan nan
5.0568e-02 8.6760e-01 3.4787e-01
8.4696e-02 3.3101e-01 3.0598e-01
5.3215e-02 1.1156e-01 2.3572e-01
8.5487e-01 3.9464e-02 2.3006e-01
1.9931e-01 5.6128e-02 1.7508e-01
1.4252e-01 7.7431e-01 1.8712e-01
3.1086e-01 5.4663e-01 5.2793e-01
1.6322e-01 6.9534e-01 2.8270e-01
4.5735e-01 3.8770e-01 1.5472e-01
2.3662e-01 5.1630e-01 1.4041e-01
nan nan nan
1.5859e-01 2.4720e-01 3.2084e-01
6.7387e-01 2.6655e-01 1.8079e-01
6.1244e-01 5.3114e-01 3.2416e-01
3.0965e-01 4.0757e-01 3.9839e-01
5.6471e-01 2.5782e-01 3.9231e-01
4.5833e-01 3.7797e-01 4.3077e-01
9.7604e-02 2.3626e-01 3.3856e-01
7.8778e-01 1.8698e-02 2.7461e-01
5.7517e-01 6.9342e-01 3.1727e-01
3.6520e-01 5.3552e-01 3.7234e-01
3.7226e-01 2.4972e-01 2.7140e-01
2.9190e-01 4.2208e-01 1.1212e-01
3.8648e-01 2.7704e-01 2.9341e-01
4.4096e-01 2.7798e-01 2.8175e-01
4.8086e-01 4.6559e-01 4.3727e-01
7.7290e-01 2.2663e-01 3.5930e-01
9.1359e-02 3.4443e-01 4.5442e-01
8.9300e-02 6.1146e-01 4.4432e-01
2.5200e-01 3.6091e-01 2.7487e-01
3.3989e-02 6.1869e-01 4.4128e-01
1.6638e-01 4.5121e-01 3.3763e-01
6.6108e-01 2.5517e-01 1.8356e-01
2.4817e-01 3.6871e-01 3.9186e-01
2.9193e-01 6.4807e-01 3.0405e-01
1.7413e-01 4.1622e-01 4.7246e-01
2.4209e-01 8.1073e-02 3.5852e-01
1.6188e-01 5.3453e-01 5.8263e-01
6.8924e-01 1.8746e-02 2.8969e-01
2.2702e-01 5.5088e-01 2.3013e-01
2.7520e-01 2.0657e-01 4.5810e-01
8.2385e-01 3.7206e-01 2.8627e-01
9.7201e-01 3.1496e-01 4.1237e-01
9.8809e-01 1.3218e-01 1.1884e-01
3.6014e-01 1.4405e-01 1.7631e-01
8.9541e-02 1.0523e-01 2.4579e-01
4.7229e-01 7.0586e-01 3.4287e-01
