# d_x d_y d_z
3.5644e-01 2.9548e-02 1.2570e+00
1.7294e-01 6.9143e-02 8.3787e-01
1.4562e-01 3.0056e-01 7.8589e-01
3.6645e-01 4.3494e-01 8.3045e-01
1.6966e-01 3.3219e-01 9.9012e-01
2.0835e-01 8.5091e-01 3.7586e-01
nan nan nan
3.0067e-02 1.1421e-01 1.1873e+00
6.3700e-01 1.3559e-01 2.3282e-01
7.0908e-01 4.5095e-01 1.2402e+00
1.6785e-01 2.9957e-01 1.3954e+00
1.0245e+00 2.3302e-01 1.0536e+00
2.2764e-01 4.8413e-01 9.1605e-01
4.2058e-01 5.5272e-01 2.6671e-01
6.4634e-01 3.4647e-02 9.0812e-01
3.1758e-01 4.9262e-01 3.1651e-01
5.6528e-01 5.5309e-02 9.8304e-01
4.9248e-01 6.6983e-01 2.8116e-01
6.8892e-01 1.3332e-01 8.7378e-01
2.0336e-01 7.5115e-02 1.1769e+00
6.2431e-01 1.8523e-01 1.2377e+00
1.2228e-01 3.0193e-01 1.0918e+00
4.7875e-01 1.6169e-01 8.6486e-01
1.9884e-01 6.9846e-01 5.9818e-01
5.6921e-01 3.7215e-01 5.3726e-01
7.2297e-02 4.6005e-02 1.2564e+00
3.4615e-01 1.0541e-01 9.6547e-01
nan nan nan
9.0038e-01 4.5534e-02 1.0896e+00
3.2738e-01 2.3540e-01 9.0636e-01
6.5600e-01 5.5635e-01 7.1584e-01
7.7717e-01 7.1263e-02 4.4351e-01
3.9392e-01 3.2262e-01 1.2586e+00
2.8143e-02 8.8438e-01 3.5299e-01
4.6854e-01 5.5162e-01 1.0939e+00
7.6047e-01 5.0903e-01 4.7664e-01
5.0667e-02 6.7391e-01 4.3974e-01
5.4388e-01 2.6728e-01 2.4094e-01
1.7268e-02 2.7186e-01 1.0925e+00
5.3467e-02 4.9263e-02 5.4515e-01
2.0606e-01 3.3385e-01 8.2489e-01
nan nan nan
9.3784e-01 7.5897e-02 7.2687e-01
8.5277e-02 3.5827e-01 5.0306e-01
2.0137e-01 2.2507e-01 4.6104e-01
5.5569e-01 4.4269e-01 2.6470e-01
8.0762e-02 7.8411e-01 9.8424e-01
2.9278e-01 2.8958e-01 1.0459e+00
4.2076e-01 5.1113e-01 1.2903e+00
nan nan nan
5.7254e-01 7.5502e-02 1.3440e+00
1.2533e-01 4.1647e-01 1.4145e+00
1.0474e-01 5.6664e-01 6.9101e-01
2.2207e-01 6.5602e-01 1.1212e+00
1.6776e-01 3.7315e-01 1.1625e+00
7.3297e-02 7.5226e-02 8.4625e-01
nan nan nan
3.2894e-01 5.1756e-01 9.4689e-01
2.7988e-01 1.3538e-01 1.5366e+00
5.7063e-01 1.0444e-01 9.0207e-01
3.0249e-01 1.8706e-01 9.2321e-01
9.1143e-02 1.1543e-02 1.3154e+00
1.7242e-02 1.5248e-01 6.1118e-01
3.7291e-01 3.5597e-01 1.0768e+00
2.0986e-01 4.0644e-01 1.5054e+00
2.8308e-01 8.3341e-01 9.1977e-01
nan nan nan
3.1540e-03 4.1065e-01 9.1803e-01
6.1240e-01 3.0235e-02 1.9751e-01
7.0926e-01 1.6129e-01 1.0358e+00
3.0290e-01 2.1330e-01 6.2928e-01
9.3485e-01 1.6326e-01 9.9300e-01
2.7594e-01 3.6382e-01 8.1760e-01
5.6129e-01 7.2519e-01 4.8165e-01
7.4680e-01 2.4015e-01 6.8623e-01
3.0276e-01 2.0724e-01 3.8788e-01
7.8249e-01 8.0118e-02 4.2621e-01
2.2095e-01 9.7961e-01 6.8632e-01
6.0238e-01 7.1456e-03 5.8345e-01
4.3627e-01 1.3187e-01 1.4595e+00
7.3151e-01 1.9222e-01 7.9628e-01
3.6370e-02 4.7295e-01 8.1916e-01
5.1267e-01 2.5193e-01 1.0241e+00
2.2418e-01 7.5294e-01 4.7508e-01
5.0328e-01 3.0768e-01 8.4266e-01
1.9129e-02 2.0453e-01 1.5022e+00
2.2902e-01 1.5024e-01 7.4090e-01
nan nan nan
8.5763e-01 6.5387e-02 8.5290e-01
3.0227e-01 2.7218e-01 5.9253e-01
5.6314e-01 3.6549e-01 6.8369e-01
7.3694e-01 1.8238e-01 3.5407e-01
4.3274e-01 4.2452e-01 1.0318e+00
1.0001e-01 7.3135e-01 2.8194e-01
6.8922e-01 2.8111e-01 6.6769e-01
8.3166e-01 4.5677e-01 4.8569e-01
2.6313e-02 8.3731e-01 6.5378e-01
6.0681e-01 3.9330e-01 7.1299e-01
1.4441e-01 3.6776e-01 1.0607e+00
7.3839e-02 7.8890e-02 1.4361e+00
1.1593e-01 2.0554e-01 1.3972e+00
nan nan nan
7.7206e-01 1.3300e-01 2.9215e-01
1.4788e-01 3.6320e-01 6.8349e-01
3.2297e-01 2.0638e-01 5.1469e-01
4.9534e-01 2.1185e-01 3.8271e-01
1.2818e-01 8.4559e-01 7.6388e-01
3.7396e-01 1.8895e-02 5.2912e-01
4.3174e-01 3.4145e-01 8.0327e-01
nan nan nan
4.6867e-01 1.0293e-01 1.4085e+00
8.4075e-02 1.3878e-02 1.6695e-01
8.6000e-02 4.1501e-01 1.3564e+00
2.1387e-01 7.4535e-01 8.6455e-01
2.5174e-01 3.8505e-01 9.3425e-01
9.6638e-02 1.2840e-01 9.0749e-01
4.7193e-01 6.9245e-01 5.6630e-01
3.6470e-01 6.3308e-01 5.9861e-01
2.1239e-01 1.3660e-01 1.3061e+00
5.3201e-01 1.8197e-01 1.1093e+00
1.3565e-01 2.8831e-01 1.2383e+00
2.4725e-01 4.7712e-02 1.1250e+00
4.3977e-02 7.2978e-02 6.8491e-01
2.9024e-01 4.9539e-01 2.8430e-01
2.7177e-01 6.9028e-01 1.1281e+00
1.7272e-01 6.8442e-01 9.5841e-01
nan nan nan
1.2487e-01 2.4064e-01 7.7418e-01
9.0193e-01 2.2378e-01 4.0101e-01
7.1076e-01 1.8644e-01 3.8933e-01
2.0993e-01 2.7114e-01 1.2177e+00
7.7257e-01 3.8909e-01 1.1102e+00
2.4110e-01 3.0817e-01 4.6414e-01
4.8572e-01 4.3926e-01 1.7001e+00
6.9350e-01 2.1249e-01 1.8424e-01
3.2472e-01 3.3034e-01 8.3435e-02
8.0597e-01 1.2903e-01 4.3536e-01
1.1229e-01 8.3203e-01 1.0412e+00
4.3806e-01 5.3721e-02 1.2084e+00
3.3890e-01 3.1912e-01 1.5826e+00
5.3048e-01 3.7335e-01 5.0954e-01
1.5211e-01 4.9481e-01 3.7845e-01
5.5259e-01 2.9741e-01 9.7120e-01
3.3216e-01 7.8884e-01 8.3785e-01
6.5778e-01 4.8984e-01 8.5957e-01
3.0159e-02 7.4600e-02 1.4119e+00
3.6545e-01 5.4297e-02 8.4782e-01
nan nan nan
9.0646e-01 1.7662e-01 1.1374e+00
3.2233e-01 3.2483e-01 7.6248e-01
6.2934e-01 7.2034e-01 7.8153e-01
6.2565e-01 5.5819e-02 1.3731e+00
4.3718e-01 2.6113e-01 1.2766e+00
1.9513e-01 7.2548e-01 2.2924e-01
7.2527e-01 3.0823e-01 2.7713e-01
3.5449e-01 4.9150e-01 4.5499e-01
1.1310e-01 6.5820e-01 1.5417e-01
7.3199e-01 4.4708e-01 7.6545e-01
1.3713e-01 3.3982e-01 9.4419e-01
1.2947e-01 1.5666e-01 1.1284e+00
1.2346e-01 1.5588e-01 1.4913e+00
3.6362e-01 9.4848e-02 5.5568e-01
6.7136e-01 1.1085e-02 3.5838e-01
2.1961e-01 2.9087e-01 7.4553e-01
nan nan nan
6.1032e-01 4.0720e-01 7.0871e-02
6.0222e-02 8.2860e-01 7.1115e-01
3.1261e-01 3.2101e-01 7.2821e-01
3.0781e-01 6.0905e-01 7.7853e-01
nan nan nan
4.1447e-01 5.5139e-02 1.3117e+00
2.5037e-01 2.1595e-01 9.0247e-01
6.3903e-02 4.0854e-01 6.9585e-01
2.3213e-01 8.6251e-01 1.6535e-01
1.0099e-01 4.9671e-01 1.7113e+00
1.3471e-02 6.9845e-02 7.6607e-02
4.6222e-01 5.7840e-01 3.9095e-01
3.0666e-01 8.1817e-01 6.6369e-01
2.0116e-01 1.4512e-02 1.2845e+00
4.8645e-01 1.7857e-01 1.4427e+00
2.1097e-01 1.4238e-01 6.4250e-01
2.3179e-01 7.2928e-02 6.4429e-01
7.8947e-02 2.5998e-01 1.7225e+00
2.1210e-01 6.5740e-01 2.0613e-01
3.2085e-01 6.0453e-01 6.0329e-01
1.5176e-01 5.7951e-01 1.8211e+00
nan nan nan
4.5026e-02 2.8356e-01 6.6173e-01
3.5177e-01 1.3580e-01 3.3515e-01
7.0670e-01 1.3116e-01 1.0711e+00
1.1350e-01 2.5305e-01 9.9895e-01
9.9369e-01 2.0840e-01 9.2051e-01
3.1557e-01 5.7763e-01 8.9793e-01
4.6058e-01 5.1632e-01 1.1308e+00
6.9495e-01 5.3777e-02 9.7396e-01
3.7441e-01 4.2190e-01 6.9639e-01
7.0168e-01 2.8092e-01 1.0067e+00
9.8253e-02 1.0209e+00 1.8464e-01
3.8127e-01 1.3661e-02 1.2154e+00
2.3460e-01 4.8881e-01 8.3697e-01
5.7573e-01 2.2648e-01 1.1720e-01
1.2087e-01 5.6623e-01 1.1946e+00
4.5183e-01 1.7048e-01 9.8961e-01
3.8995e-01 5.6791e-01 3.5226e-01
7.0770e-01 1.4869e-01 2.5304e-01
1.7415e-03 7.9323e-02 7.5745e-01
4.4379e-01 3.8237e-01 1.0384e+00
nan nan nan
8.4491e-01 6.2766e-02 9.1580e-01
3.9607e-01 3.3079e-01 1.0589e+00
5.6226e-01 3.6280e-01 1.0111e+00
6.2780e-01 1.8682e-01 7.2786e-01
6.1358e-01 3.1961e-01 1.3214e+00
1.0658e-02 6.3276e-01 8.5122e-01
5.1930e-01 1.4014e-01 6.8908e-01
9.4389e-01 2.2058e-01 3.0140e-01
1.8304e-01 6.1027e-01 6.4055e-01
5.2684e-01 2.9653e-01 9.2706e-01
2.6456e-02 4.0434e-01 1.3100e+00
1.6602e-01 3.1254e-01 1.1558e+00
3.9356e-01 3.0491e-01 1.4318e+00
2.3377e-01 6.1579e-02 1.0817e+00
7.0731e-01 2.9884e-02 7.8637e-01
2.1386e-01 4.2048e-01 9.9087e-01
3.3824e-01 3.9135e-01 2.0670e-01
4.5188e-01 3.6138e-01 6.0328e-01
1.3778e-01 5.3427e-01 1.0765e+00
2.0182e-01 4.3036e-01 9.2343e-02
4.3423e-01 3.1365e-01 1.2757e+00
7.7389e-01 5.0257e-01 1.0406e+00
2.4938e-01 9.0814e-02 1.0456e+00
1.6105e-01 2.3973e-02 1.1396e+00
9.2641e-02 4.2240e-01 8.6880e-01
3.1302e-01 8.5270e-01 1.4759e-01
6.5800e-02 3.6176e-01 1.8687e+00
1.8713e-01 6.4876e-02 2.0331e-01
4.9958e-01 3.5682e-01 5.3698e-01
nan nan nan
3.7550e-01 6.3696e-02 9.0821e-01
6.7099e-01 3.5223e-01 1.6690e+00
1.6556e-01 4.2243e-02 6.2168e-01
2.4860e-01 2.2829e-01 5.6037e-01
1.3949e-03 1.8717e-01 1.1449e+00
nan nan nan
3.2148e-01 6.7240e-01 1.2095e+00
4.6788e-02 7.5339e-01 1.2244e+00
nan nan nan
4.5125e-02 3.1159e-01 9.6247e-01
8.1712e-01 5.1361e-01 6.8357e-01
7.3844e-01 9.4429e-03 5.0728e-01
3.7397e-01 5.3632e-02 3.0948e-01
9.7565e-01 1.1521e-01 4.8427e-02
3.1325e-01 5.9032e-01 9.1367e-01
8.6389e-01 6.0191e-01 6.4796e-01
6.9956e-01 8.6448e-02 1.2323e+00
3.8633e-01 4.5522e-01 4.4413e-01
6.9839e-01 2.8037e-01 1.1478e+00
2.0902e-01 6.7358e-01 1.0842e+00
4.0423e-01 2.1966e-01 9.5706e-01
1.2289e-01 2.1946e-01 6.9266e-01
5.6840e-01 4.2693e-01 9.3119e-01
2.0593e-02 4.1359e-01 1.0282e+00
5.5712e-01 6.6652e-02 1.3349e+00
2.0496e-01 6.7065e-01 3.1118e-01
8.1811e-01 2.9927e-01 1.1949e+00
1.3561e-01 6.2336e-02 1.0805e+00
5.8742e-01 3.1506e-01 2.7473e-01
nan nan nan
8.8417e-01 3.7304e-02 1.0969e+00
3.1800e-01 1.7029e-01 4.6696e-01
5.8390e-01 5.6146e-01 5.0952e-01
6.4883e-01 2.8644e-01 1.1003e+00
7.2616e-01 4.1071e-01 1.2803e+00
1.2378e-01 9.1330e-01 8.4940e-01
4.8218e-01 1.2159e-01 8.8882e-01
8.4057e-01 3.3740e-01 3.1944e-01
1.1540e-01 7.1898e-01 7.8879e-01
4.8817e-01 3.1344e-01 1.1549e+00
1.2054e-01 3.8870e-01 1.1877e+00
2.9459e-01 2.9904e-01 1.3815e+00
2.7210e-01 1.7043e-01 1.3320e+00
2.5963e-01 1.0016e-01 6.9812e-01
9.0489e-01 1.3258e-01 8.8687e-01
2.4918e-01 4.1982e-01 1.2509e+00
2.8619e-01 4.4073e-01 1.1843e+00
4.2529e-01 3.2993e-01 9.4361e-01
2.5841e-01 5.8221e-01 7.0996e-01
3.5486e-01 5.2330e-01 3.8921e-01
3.8598e-01 1.4878e-01 3.4077e-01
7.8385e-01 3.2907e-01 7.7125e-01
