# d_x d_y d_z
5.4987e-01 1.6788e-01 6.7505e-01
3.7274e-01 5.7150e-01 8.1068e-01
4.3111e-01 3.2654e-01 8.9077e-01
3.6143e-01 2.9215e-01 3.4808e-01
5.9742e-01 1.0842e-01 7.9878e-01
5.3260e-02 4.5453e-01 1.1458e+00
1.0594e-01 2.3958e-03 1.0745e+00
1.7830e-01 7.2758e-02 1.0710e+00
5.0279e-02 3.0590e-01 6.6742e-01
4.8051e-01 2.9456e-01 9.9966e-01
3.8922e-01 5.3421e-01 5.6665e-01
2.8359e-01 1.3356e-01 7.0329e-01
4.1819e-01 2.4249e-01 1.2106e+00
2.3851e-01 3.4612e-01 8.8442e-01
6.1129e-01 3.0351e-01 8.4266e-01
2.8857e-01 7.6496e-01 1.1078e+00
3.3252e-01 4.6411e-02 1.5676e+00
4.7995e-01 5.1787e-02 1.0337e+00
2.9500e-01 2.9698e-01 1.0146e+00
5.0632e-01 3.8551e-01 1.1495e+00
6.1665e-01 1.2730e-01 5.7486e-01
1.5192e-01 5.4871e-01 1.0042e+00
2.4068e-01 1.8868e-02 1.1481e+00
1.9024e-01 1.1870e-01 9.7026e-01
nan nan nan
1.1967e-01 2.1402e-01 1.0684e+00
7.1878e-01 2.0697e-01 1.0162e+00
3.4786e-01 1.3624e-02 1.1229e+00
3.3287e-01 8.1306e-01 9.9094e-01
3.6380e-01 3.7657e-01 5.3487e-01
8.9683e-02 5.6172e-01 1.1366e+00
2.5603e-01 3.6677e-01 8.2744e-01
2.8663e-01 1.7663e-01 6.6479e-01
7.6705e-01 1.1717e-01 7.5787e-01
2.6634e-01 1.5350e-01 5.2533e-01
5.9212e-01 1.3086e-01 8.9513e-01
3.1784e-01 5.4720e-01 1.4094e+00
1.5099e-01 1.3413e-01 5.9560e-01
1.2818e-01 1.2170e-01 9.1506e-01
3.8029e-02 1.3143e-01 1.2257e+00
1.3043e-01 5.3684e-01 6.2828e-01
1.7409e-01 3.0555e-01 9.0847e-01
1.0606e-01 1.5999e-01 1.2074e+00
3.0043e-01 7.7057e-01 6.2567e-01
7.5067e-01 1.0478e-01 6.5873e-01
8.6717e-01 3.6765e-01 5.0023e-01
6.8040e-02 3.1776e-01 8.6463e-01
3.7521e-01 3.6217e-01 7.8324e-01
7.0916e-01 5.4149e-02 2.2871e-01
